strain	cluster	depth	ORF1a_misStops	ORF1a_deletions	ORF1a_koType
USA/WA-CDC-UW22060990045/2022	61	3	5824-5826:ACA>TAA	None	earlyStop
USA/WA-UW-22060995374/2022	61	3	5824-5826:ACA>TAA	None	earlyStop
Moldova/Nr-23901/2022	62	3	2866-2868:GTA>TAA	None	earlyStop
Moldova/Nr-24072/2022	62	3	2866-2868:GTA>TAA	None	earlyStop
USA/WY-WYPHL-22052474/2022	63	2	11362-11364:GTG>TGA	None	earlyStop
USA/ID-IBL-832959/2022	64	2	4201-4203:CTA>TAG	None	earlyStop
Moldova/Nr-23643/2022	65	2	2866-2868:GTA>TAA	None	earlyStop
USA/ID-IBL-867324/2022	66	2	529-531:GTA>TAG	None	earlyStop
USA/WA-UW-22110718116/2022	67	2	11359-11361:ACT>TGA	None	earlyStop
Moldova/Nr_26793/2023	68	2	2866-2868:GTA>TAA	None	earlyStop
Moldova/Nr_22468/2022	69	2	2866-2868:GTA>TAA	None	earlyStop
Moldova/Nr_17599/2022	70	2	2866-2868:GTA>TAA	None	earlyStop
Coted-Ivoire/IPCI-DVE-E842753/2022	71	2	4633-4635:TTA>TAA	None	earlyStop
USA/WA-CDC-UW22110891617/2022	72	2	523-525:GAG>TAG	None	earlyStop
USA/CA-SCCPHD-UC102/2020	73	2	None	2690:2732	bigDeletion
Russia/MOW-CSP-4-R_S1/2020	74	2	None	5400:5434	bigDeletion
Canada/BC_69243/2020	75	2	None	5296:5586	bigDeletion
Philippines/PH-RITM-0065/2020	76	2	None	2242:2416	bigDeletion
Thailand/63015565__2019/2020	77	2	None	7092:7332	bigDeletion
USA/WA-UW-4684/2020	78	2	None	611:786	bigDeletion
USA/SC-DHEC-0099/2020	79	2	None	2716:2837	bigDeletion
Panama/3842-GMI/2020	80	2	None	7092:7141	bigDeletion
Panama/GMI-PA610771/2020	81	2	None	5085:5586	bigDeletion
USA/WA-S4457/2021	82	4	None	7221:7272	bigDeletion
USA/WA-S4526/2021	82	4	None	7221:7272	bigDeletion
USA/WA-S4568/2021	82	4	None	7221:7272	bigDeletion
USA/WA-S4484/2021	82	4	None	7221:7272	bigDeletion
Ecuador/UEES-HLV-31/2021	83	2	None	5158:5194	bigDeletion
Belize/CML-52/2021	84	2	None	6846:7058	bigDeletion
Belize/CML-192/2021	85	2	None	11048:11331	bigDeletion
BurkinaFaso/B05-2147/2020	86	2	None	7671:7705	bigDeletion
Sudan/N6718/2021	87	2	None	8745:8799	bigDeletion
Uganda/UG023/2020	87	2	None	8745:8799	bigDeletion
Uganda/025/2020	88	2	None	3888:4013	bigDeletion
Uganda/077/2021	88	2	None	3888:4013	bigDeletion
DRC/6769/2021	89	2	None	7092:7332	bigDeletion
Nigeria/OS055-CV8/2020	90	2	None	9684:9731	bigDeletion
Coted-Ivoire/COV-BKE1155/bc73/2020	91	2	None	2568:2850	bigDeletion
Togo/C5627/2021	92	2	None	2633:2832	bigDeletion
Algeria/40153/2021	93	2	None	2568:2850	bigDeletion
Coted-Ivoire/316001-cv216/2021	94	2	None	2585:2832	bigDeletion
USA/WA-S515/2020	95	2	None	1644:1935	bigDeletion
USA/WA-S37/2020	96	2	None	1158:1198	bigDeletion
USA/WA-UW387/2020	97	2	None	461:538	bigDeletion
USA/WA-S113/2020	98	2	None	6943:6982	bigDeletion
USA/WA-PHL-029344/2020	99	2	None	6247:6386	bigDeletion
USA/WA-UW-1730/2020	100	2	None	268:322	bigDeletion
USA/WA-PHL-029338/2020	101	2	None	6247:6292	bigDeletion
USA/WA-PHL-028633/2020	102	2	None	6308:6343	bigDeletion
USA/WA-PHL-030397/2020	103	2	None	6247:6366	bigDeletion
USA/WA-S1507/2020	104	2	None	300:392	bigDeletion
USA/WA-S165/2020	105	2	None	3794:3854	bigDeletion
USA/WA-S1371/2020	106	2	None	6956:7024	bigDeletion
USA/WA-CDC-8375/2020	107	2	None	225:366	bigDeletion
USA/WA-UW-6187/2020	108	2	None	6780:6849	bigDeletion
USA/WA-S2231/2020	109	2	None	9073:9125	bigDeletion
England/ALDP-71DB80/2020	110	2	None	9265:9488	bigDeletion
Egypt/CPHL-NRC-6/2020	110	2	None	9265:9488	bigDeletion
DRC/ILRI_COVM00356/2020	111	2	None	6846:7058	bigDeletion
Egypt/MASRI-008/2020	112	2	None	10614:10654	bigDeletion
Belarus/MI-RII-MH11353S/2020	113	2	None	5978:6197	bigDeletion
Guinea/CERFIG-1337/2020	114	2	None	5012:5237	bigDeletion
Germany/BAV-PL-virotum_hr88/2020	115	2	None	5156:5223	bigDeletion
USA/WA-S5258/2020	116	2	None	7108:7311	bigDeletion
USA/WA-S4527/2021	117	2	None	7233:7270	bigDeletion
Guinea/Conakry_IPG3976/2020	118	2	None	6865:7042	bigDeletion
Egypt/CPHL-NRC-18/2020	119	2	None	9265:9416	bigDeletion
Philippines/PH-RITM-466/2020	120	2	None	5932:6196	bigDeletion
Singapore/412/2021	121	2	None	8299:8904	bigDeletion
Norway/1495/2020	122	2	None	3623:3891	bigDeletion
USA/WA-S2859/2020	123	2	None	186:532	bigDeletion
Spain/CL-IBV-97006299/2020	124	2	None	8650:8924	bigDeletion
Guatemala/GUA-LNS-57262/2020	125	2	None	6896:6947	bigDeletion
USA/MO-CDC-3979549-001/2020	126	2	None	3477:3721	bigDeletion
SaudiArabia/KAUST-RIYADH1246/2020	127	2	None	8661:8888	bigDeletion
India/DL-NCDC-909176/2020	128	2	None	7172:7294	bigDeletion
Cameroon/Douala-20V-3045/2020	129	2	None	7905:7951	bigDeletion
Belize/CML-53/2021	130	2	None	4402:4658	bigDeletion
USA/WA-UW-20245/2020	131	2	None	6879:6994	bigDeletion
USA/AL-UAB-GX314/2021	132	2	None	1060:1127	bigDeletion
USA/CT-CDC-QDX25249495/2021	133	2	None	4995:5071	bigDeletion
USA/WA-UW-21061139379/2021	134	2	None	11315:11390	bigDeletion
USA/WA-CDC-LC0105138/2021	135	2	None	7078:7120	bigDeletion
USA/WA-Altius-ALTCOV-3FIDW2AIFEB7Q6QV/2021	136	2	None	9267:9384	bigDeletion
DRC/174/2020	137	2	None	7111:7311	bigDeletion
Algeria/28629/2021	138	2	None	5932:6197	bigDeletion
DRC/11732/2020	139	2	None	7102:7311	bigDeletion
DRC/ILRI_COVM01614/2021	140	2	None	6846:7058	bigDeletion
Uruguay/UY-NYULH2125/2021	141	2	None	3813:3878	bigDeletion
Spain/NC-IBV-97011702/2020	142	3	None	398:651	bigDeletion
Spain/NC-IBV-97011725/2020	142	3	None	398:651	bigDeletion
Netherlands/LI-MUMC-71/2020	143	2	None	4611:4837	bigDeletion
Lithuania/ID7444/2021	144	2	None	6846:7058	bigDeletion
Qatar/QA-WCMQ_FD18163103/2020	145	2	None	5157:5222	bigDeletion
Philippines/PH-RITM-745/2020	146	2	None	5302:5584	bigDeletion
Gambia/S-3039J/2020	147	2	None	4995:5287	bigDeletion
Senegal/64969/2020	148	2	None	5010:5275	bigDeletion
Gambia/23736/2020	149	2	None	3826:4077	bigDeletion
USA/WA-UW-61845/2021	150	2	None	3847:4047	bigDeletion
USA/WA-S5047/2020	151	2	None	2902:2932	bigDeletion
USA/WA-S5057/2020	151	2	None	2902:2932	bigDeletion
Slovenia/17-007832-KR/2021	152	2	None	7671:7788	bigDeletion
Slovenia/5C-006069-KP/2021	153	2	None	7671:7726	bigDeletion
Liechtenstein/UHB-4176289501/2020	154	2	None	4158:4264	bigDeletion
USA/WA-CDC-4010423-001/2020	155	2	None	4651:4973	bigDeletion
USA/WA-UW-26849/2020	156	2	None	6917:6994	bigDeletion
USA/WA-S4735/2021	157	2	None	7156:7311	bigDeletion
USA/WA-S4580/2021	158	2	None	7104:7311	bigDeletion
USA/ID-IBL-622835/2020	159	2	None	5988:6101	bigDeletion
USA/WA-S4235/2021	160	2	None	7104:7311	bigDeletion
USA/FL-USAFSAM-S1727/2021	161	2	None	1630:2161	bigDeletion
mink/Spain/AR-CEETE-MINK02/2020	162	2	None	5950:6101	bigDeletion
USA/OH-ASU72606/2020	163	2	None	9306:9497	bigDeletion
USA/WA-UW-32920/2020	164	2	None	3918:3987	bigDeletion
USA/WA-S3429/2020	165	2	None	7150:7311	bigDeletion
USA/WA-S3433/2020	165	2	None	7150:7311	bigDeletion
USA/AZ-TG408214/2020	166	2	None	2579:2673	bigDeletion
USA/WA-S2876/2020	167	2	None	300:358	bigDeletion
USA/WA-S4079/2021	168	3	None	7110:7311	bigDeletion
USA/WA-S4614/2021	168	3	None	7110:7311	bigDeletion
USA/WA-PHL-029912/2020	169	2	None	9306:9497	bigDeletion
SaudiArabia/KAUST-RIYADH1235/2020	170	3	None	9275:9334	bigDeletion
SaudiArabia/KAUST-RIYADH1231/2020	170	3	None	9275:9334	bigDeletion
USA/WA-S3591/2020	171	2	None	7273:7310	bigDeletion
USA/WA-S4030/2021	172	2	None	6865:7311	bigDeletion
USA/WA-S4341/2021	173	2	None	7108:7311	bigDeletion
USA/WA-S4697/2021	173	2	None	7108:7311	bigDeletion
USA/WA-UW-29897/2020	174	2	None	6946:6992	bigDeletion
USA/WA-UW-29898/2020	174	2	None	6946:6992	bigDeletion
USA/WA-UW-29527/2020	174	2	None	6946:6992	bigDeletion
USA/WA-UW-29526/2020	175	2	None	6936:6994	bigDeletion
USA/WA-S4007/2021	176	2	None	7110:7311	bigDeletion
USA/WA-S2885/2020	177	2	None	186:615	bigDeletion
USA/WA-S4255/2021	178	2	None	6877:6919	bigDeletion
USA/WA-UW-62654/2021	179	2	None	5954:6013	bigDeletion
USA/WA-UW-61183/2021	179	2	None	5954:6013	bigDeletion
USA/WA-UW-24798/2020	180	2	None	11070:11154	bigDeletion
USA/WA-S5585/2021	181	2	None	7189:7311	bigDeletion
USA/NV-NSPHL-NV2029211/2020	182	2	None	6846:7332	bigDeletion
USA/WA-UW-31265/2020	183	2	None	6773:6827	bigDeletion
USA/WA-S3711/2020	184	2	None	7091:7311	bigDeletion
USA/WA-UW-29751/2020	185	2	None	6845:6904	bigDeletion
USA/WA-S4094/2021	186	2	None	6863:7028	bigDeletion
USA/WA-S4104/2021	187	2	None	6902:6938	bigDeletion
Vietnam/KH-52/2020	188	2	None	8494:8593	bigDeletion
USA/WA-S4018/2021	189	2	None	7246:7285	bigDeletion
USA/WA-S3596/2020	189	2	None	7246:7285	bigDeletion
USA/WA-S4286/2021	189	2	None	7246:7285	bigDeletion
USA/WA-S3573/2020	190	2	None	6881:6980	bigDeletion
USA/WA-UW-61929/2021	191	2	None	3106:3412	bigDeletion
USA/WA-S4704/2021	192	2	None	7110:7311	bigDeletion
USA/WA-S4298/2021	193	2	None	7089:7311	bigDeletion
USA/WA-S3610/2020	194	2	None	7238:7276	bigDeletion
USA/MD-HP10155-PIDHEWQQXO/2020	195	2	None	7671:7968	bigDeletion
USA/WA-UW-30922/2020	196	2	None	374:407	bigDeletion
USA/WA-S2862/2020	197	2	None	190:471	bigDeletion
USA/WA-S3501/2020	198	2	None	7110:7293	bigDeletion
USA/RI-Broad_RIDOH-00230/2021	199	2	None	6891:6968	bigDeletion
USA/CA-CDC-STM-000008078/2021	200	2	None	5006:5230	bigDeletion
USA/WA-S3722/2020	201	2	None	7091:7311	bigDeletion
USA/WA-S5049/2020	202	2	None	3028:3094	bigDeletion
USA/WA-S5389/2020	203	2	None	7104:7311	bigDeletion
USA/WA-UW-31232/2020	204	2	None	11065:11166	bigDeletion
USA/WA-S9136/2020	205	2	None	7110:7311	bigDeletion
USA/WA-S4559/2021	205	2	None	7110:7311	bigDeletion
USA/KS-USAFSAM-S416/2020	206	2	None	5314:5569	bigDeletion
USA/MS-USAFSAM-S208/2020	206	2	None	5314:5569	bigDeletion
USA/WA-S2908/2020	207	2	None	186:751	bigDeletion
USA/MI-MDHHS-SC21485/2020	208	2	None	5946:6175	bigDeletion
USA/ME-HETL-J12694/2020	209	2	None	7092:7332	bigDeletion
USA/WA-S3607/2020	210	2	None	6868:7042	bigDeletion
USA/WA-UW-24557/2020	211	2	None	6853:6994	bigDeletion
USA/WA-UW-24556/2020	212	2	None	6917:6994	bigDeletion
USA/WA-S3255/2020	213	2	None	6902:6982	bigDeletion
USA/WA-S11475/2020	214	2	None	7097:7311	bigDeletion
USA/WA-S3904/2021	215	2	None	7185:7311	bigDeletion
USA/WA-UW-19463/2020	216	2	None	6917:6994	bigDeletion
USA/WA-UW-19488/2020	217	2	None	6917:6994	bigDeletion
USA/WA-S2817/2020	218	2	None	4999:5166	bigDeletion
USA/WY-WPHL-21009748/2021	219	2	None	7092:7332	bigDeletion
USA/WA-S4975/2021	220	2	None	7106:7311	bigDeletion
USA/WA-S5323/2020	221	2	None	7104:7311	bigDeletion
USA/WA-S5048/2020	222	2	None	3066:3098	bigDeletion
USA/WA-S2906/2020	223	2	None	300:609	bigDeletion
USA/WA-S3003/2020	224	2	None	6772:6831	bigDeletion
USA/NV-NSPHL-NV2023501/2020	225	2	None	7267:7332	bigDeletion
USA/WA-S2877/2020	226	2	None	5322:5423	bigDeletion
USA/WA-S5350/2020	227	2	None	7110:7310	bigDeletion
USA/WA-S9122/2020	228	2	None	7110:7310	bigDeletion
USA/WA-S5327/2020	229	2	None	7110:7164	bigDeletion
USA/WA-S5336/2020	229	2	None	7110:7164	bigDeletion
USA/WA-S5373/2020	229	2	None	7110:7164	bigDeletion
USA/WA-S5329/2020	229	2	None	7110:7164	bigDeletion
USA/WA-S5374/2020	230	2	None	7103:7311	bigDeletion
Libya/EMC-5/2021	231	2	None	385:664	bigDeletion
Sudan/N6667/2021	232	2	None	9401:9508	bigDeletion
Coted-Ivoire/COV-BKE3833-bc88/2021	233	2	None	7671:7968	bigDeletion
Sudan/SS1755/2021	234	2	None	704:965	bigDeletion
Sudan/SS1756/2021	234	2	None	704:965	bigDeletion
USA/WA-S9184/2021	235	2	None	7106:7310	bigDeletion
USA/WA-S10665/2021	236	2	None	7282:7319	bigDeletion
USA/WA-S10152/2021	237	2	None	7091:7311	bigDeletion
Kosovo/ChVir25780_24/2021	238	2	None	6875:6908	bigDeletion
Qatar/QA.QU_18.15.G9/2021	238	2	None	6875:6908	bigDeletion
DRC/RDC-134/2021	239	2	None	2716:2767	bigDeletion
SierraLeone/CPHRL-092/2021	240	2	None	4142:4322	bigDeletion
Thailand/TUC-L21-20002/2021	241	2	None	9378:9493	bigDeletion
USA/WA-CDC-FG-082110/2021	242	2	None	2746:2788	bigDeletion
Kenya/ILRI_COVM01050/2021	243	2	None	6273:6310	bigDeletion
Kenya/SS1487_16_0/2021	244	2	None	704:965	bigDeletion
USA/WA-CDC-FG-096357/2021	245	2	None	2745:2788	bigDeletion
USA/WA-S15248/2021	246	2	None	6879:7064	bigDeletion
USA/WA-UW-21072700538/2021	247	2	None	13410:13606	bigDeletion
USA/WA-CDC-LC0275293/2021	248	2	None	1740:2169	bigDeletion
USA/WA-ASU14201/2021	249	2	None	5952:6191	bigDeletion
Uzbekistan/Tashkent-CGB-38/2021	250	2	None	11542:11665	bigDeletion
Nepal/EPN-K2106/2021	251	2	None	9842:9873	bigDeletion
Togo/11247/2021	252	2	None	1729:1760	bigDeletion
SolomonIslands/SOL028/2022	253	2	None	258:344	bigDeletion
USA/WA-PHL-000931/2021	254	2	None	2568:2850	bigDeletion
Cyprus/BMV1933/2021	255	2	None	4555:4627	bigDeletion
Sudan/SS1776/2021	256	2	None	704:965	bigDeletion
Malawi/SCA1156C3V1/2021	257	2	None	9272:9475	bigDeletion
Mozambique/CERI-KRISP-K027988/2021	258	2	None	3789:3998	bigDeletion
Kuwait/Jaber2120439229/2021	259	2	None	12490:12546	bigDeletion
Philippines/PH-RITM-619/2021	260	2	None	7122:7403	bigDeletion
Gambia/48323/2021	261	2	None	6846:7058	bigDeletion
Gambia/46010/2021	262	2	None	6846:7058	bigDeletion
Bahamas/18005-GMI/2021	263	2	None	7092:7317	bigDeletion
USA/WA-S14037/2021	263	2	None	7092:7317	bigDeletion
USA/MI-MDHHS-SC31457/2021	264	2	None	2577:2837	bigDeletion
USA/WA-PHL-008380/2021	265	2	None	7092:7332	bigDeletion
CzechRepublic/FNP1846/2021	266	2	None	4344:4430	bigDeletion
USA/WA-S11206/2021	267	2	None	2898:3151	bigDeletion
USA/WA-PHL-004423/2021	268	2	None	13378:13538	bigDeletion
USA/WA-S8652/2021	269	2	None	7158:7193	bigDeletion
USA/WA-S15510/2021	270	2	None	6879:6917	bigDeletion
USA/WA-CDC-LC0149530/2021	271	2	None	6535:7240	bigDeletion
USA/WA-PHL-002070/2021	272	2	None	4402:4658	bigDeletion
Croatia/7614/2021	273	2	None	9025:9092	bigDeletion
Laos/LOMWRU-0931/2021	274	2	None	12538:12575	bigDeletion
Bulgaria/21BG-EU_004495_Pl39/2021	275	2	None	9025:9092	bigDeletion
env/Liechtenstein/CeMM15935/2021	276	2	None	6969:7058	bigDeletion
Australia/VIC18781/2021	277	2	None	8652:8727	bigDeletion
Grenada/88089/2021	278	2	None	7671:7968	bigDeletion
USA/WA-S10239/2021	279	2	None	7108:7311	bigDeletion
Indonesia/JB-NIHRD-WGS13454/2021	280	2	None	6884:7061	bigDeletion
AntiguaandBarbuda/114037/2021	281	2	None	4995:5259	bigDeletion
Russia/MOW-CRIE-L189S0543u_0596/2021	282	2	None	7233:7430	bigDeletion
Cameroon/CAM-106/2021	283	2	None	4240:4328	bigDeletion
Russia/MOW-PMVL-DZ-9571022076/2021	284	2	None	13074:13336	bigDeletion
SaudiArabia/KFSHRC_001R/2021	285	2	None	1652:1708	bigDeletion
USA/WA-CDC-UW21092605262/2021	286	2	None	1642:1756	bigDeletion
Slovakia/480/2021	287	2	None	6870:7079	bigDeletion
Albania/249819/2021	288	2	None	6306:6457	bigDeletion
AntiguaandBarbuda/81142/2021	289	2	None	7671:7968	bigDeletion
USA/NV-CDC-QDX31046983/2021	290	2	None	4543:4658	bigDeletion
Qatar/QA-QU-18-33-B6/2021	291	2	None	9951:9986	bigDeletion
Ukraine/37-62200/2021	292	2	None	3832:3941	bigDeletion
Malta/MDxMDH800/2021	293	2	None	6731:6787	bigDeletion
Mozambique/CERI-KRISP-K030803/2021	294	2	None	3202:3395	bigDeletion
Ghana/NMIMR-NCOV-21-58369/2021	295	2	None	4142:4322	bigDeletion
USA/WA-PHL-003888/2021	296	2	None	5040:5114	bigDeletion
Mozambique/CERI-KRISP-K030798/2021	297	2	None	6881:7062	bigDeletion
Algeria/79/2022	298	2	None	1337:1562	bigDeletion
Jordan/MoH-824/2021	299	2	None	3828:3877	bigDeletion
Russia/MOW-PMVL-DZ-216534240/2021	300	2	None	6401:6434	bigDeletion
Namibia/N17397/2021	301	2	None	8634:8913	bigDeletion
Botswana/R20B9_BHP_AAB70056/2021	302	2	None	3531:3770	bigDeletion
Kenya/SS4156/2021	303	2	None	6859:7084	bigDeletion
Andorra/AND-247_212871382801_COV-GC/2021	304	2	None	1183:2179	bigDeletion
SouthAfrica/NICD-R11234/2021	305	2	None	8629:8905	bigDeletion
Maldives/MAV85283/2021	306	2	None	7231:7311	bigDeletion
Bulgaria/21BG-EU_004048_Pl34/2021	307	2	None	4391:4427	bigDeletion
Poland/2110-168_wsselodz/2021	308	2	None	7984:8269	bigDeletion
USA/DC-CDC-LC0079014/2021	309	2	None	7078:7120	bigDeletion
CzechRepublic/FNHK-Ps-002594/2022	310	2	None	9925:10012	bigDeletion
India/KA-SEQ_8710_S47_R1_001/2021	311	2	None	7111:7181	bigDeletion
Seychelles/SS3985/2021	312	2	None	6553:7084	bigDeletion
USA/WA-CDC-UW21112328884/2021	313	2	None	4157:4306	bigDeletion
Vanuatu/VAN7/2021	314	2	None	364:455	bigDeletion
Lithuania/LTU000_KNS_ANT08_09_38/2021	315	2	None	4950:5116	bigDeletion
SaintVincentandtheGrenadines/109742/2021	316	2	None	3484:3537	bigDeletion
USA/WA-UW-21092480968/2021	317	2	None	3813:3878	bigDeletion
Andorra/AND-249_213361423101_COV-GC/2021	318	2	None	6358:7328	bigDeletion
USA/NE-CDC-ASC210376501/2021	319	2	None	6868:7041	bigDeletion
Romania/B-18331/2021	320	2	None	6873:6968	bigDeletion
Romania/Giurgiu_468816/2021	320	2	None	6873:6968	bigDeletion
TrinidadandTobago/110588/2021	321	2	None	4995:5259	bigDeletion
Senegal/285559/2021	322	2	None	6868:7042	bigDeletion
Montenegro/CO-00596_MNE000_5832002102/2021	323	2	None	4654:4705	bigDeletion
Mali/MAL0110/2021	324	2	None	2455:2493	bigDeletion
PapuaNewGuinea/PNG4739/2021	325	2	None	1337:1562	bigDeletion
FrenchPolynesia/IPP35918/2021	326	2	None	6879:6963	bigDeletion
Timor-Leste/TL987/2021	327	2	None	7047:7084	bigDeletion
Comoros/SS5379/2021	328	2	None	6859:7084	bigDeletion
Comoros/SS5378/2021	328	2	None	6859:7084	bigDeletion
USA/WA-PHL-001977/2021	329	2	None	4428:4658	bigDeletion
USA/WA-S10909/2021	330	2	None	7106:7311	bigDeletion
USA/WA-S9881/2021	330	2	None	7106:7311	bigDeletion
USA/WA-S18229/2021	331	2	None	6879:7064	bigDeletion
USA/WA-CDC-FG-062143/2021	332	2	None	2745:2788	bigDeletion
USA/WA-PHL-004225/2021	333	2	None	4519:4554	bigDeletion
USA/WA-S10446/2021	334	2	None	6865:6996	bigDeletion
Togo/10208/2021	335	3	None	6177:6341	bigDeletion
Togo/11201/2021	335	3	None	6177:6341	bigDeletion
USA/KY-GD_01605/2021	336	2	None	6837:7240	bigDeletion
USA/WA-S9611/2021	337	2	None	7109:7310	bigDeletion
Eswatini/N13458/2021	338	2	None	7086:7120	bigDeletion
Botswana/R20B81_BHP_AAB72821/2021	339	2	None	3535:3770	bigDeletion
DRC/ILRI_COVM01425/2021	340	2	None	6846:7058	bigDeletion
Botswana/R21B45_BHP_AAB78979/2021	341	2	None	3531:3770	bigDeletion
USA/WA-CDC-LC0327085/2021	342	2	None	7078:7120	bigDeletion
USA/WA-S14166/2021	343	2	None	7104:7288	bigDeletion
Ethiopia/ET2108145/2021	344	2	None	704:965	bigDeletion
