strain	cluster	depth	ORF1b_misStops	ORF1b_deletions	ORF1b_koType
USA/WA-PHL-014898/2022	41	2	None	15402:15460	bigDeletion
USA/WA-CDC-UW22010764425/2022	42	2	None	19316:19501	bigDeletion
USA/WA-PHL-022166/2022	43	2	None	14717:14983	bigDeletion
USA/WA-PHL-011529/2022	44	2	None	13602:13709	bigDeletion
USA/WA-Curative-249099/2022	45	2	None	16034:16079	bigDeletion
USA/WA-PHL-013406/2022	46	2	None	15336:15557	bigDeletion
USA/VT-CDCBI-CRSP_7AN7A3PPQDRQP6WP/2021	47	2	None	19247:19434	bigDeletion
USA/VA-VCUVAS3-ANHC181329/2022	48	2	None	21514:21551	bigDeletion
Iraq/KR-SEARCH-120409/2022	49	2	None	17158:17268	bigDeletion
USA/WA-PHL-021966/2022	50	2	None	14717:14983	bigDeletion
USA/WA-PHL-012172/2021	51	2	None	13652:13718	bigDeletion
USA/WA-PHL-016089/2022	52	2	None	17857:17939	bigDeletion
Spain/MC-HCUVA-16185980/2020	53	2	None	14472:14515	bigDeletion
USA/WA-Curative-202274/2022	54	4	None	16034:16079	bigDeletion
USA/WA-Curative-169498/2022	54	4	None	16034:16079	bigDeletion
USA/WA-Curative-187965/2022	54	4	None	16034:16079	bigDeletion
USA/WA-Curative-191415/2022	54	4	None	16034:16079	bigDeletion
USA/CT-CDCBI-CRSP_KYXLRWQR427QVYYB/2022	55	2	None	14009:14319	bigDeletion
USA/DE-Curative-217890/2022	56	2	None	16034:16079	bigDeletion
USA/WA-PHL-014905/2022	57	2	None	15424:15557	bigDeletion
USA/CO-CDPHE-2102543014/2021	58	2	None	13506:13775	bigDeletion
USA/WA-PHL-019442/2022	59	2	None	14717:14905	bigDeletion
USA/WA-PHL-015656/2022	60	2	None	14717:14983	bigDeletion
USA/WA-CDC-UW22020850645/2022	61	2	None	19224:19290	bigDeletion
USA/WA-Curative-269857/2022	62	2	None	16034:16079	bigDeletion
USA/WA-CDC-LC0557796/2022	63	2	None	19007:19091	bigDeletion
USA/WA-CDC-UW21123108501/2021	64	2	None	19463:19551	bigDeletion
USA/WA-CDC-UW21122439218/2021	65	2	None	19507:19551	bigDeletion
USA/WA-CDC-UW21122441955/2021	66	2	None	19292:19387	bigDeletion
USA/WA-CDC-UW21122880284/2021	67	2	None	19386:19466	bigDeletion
USA/WA-CDC-UW21122698982/2021	68	2	None	19292:19551	bigDeletion
USA/WA-CDC-UW21122717814/2021	69	2	None	19292:19551	bigDeletion
USA/WA-Curative-173201/2022	70	2	None	16034:16079	bigDeletion
USA/WA-PHL-013257/2022	71	2	None	15402:15433	bigDeletion
USA/WA-PHL-014466/2022	72	2	None	15336:15557	bigDeletion
USA/WA-PHL-013150/2022	73	2	None	15447:15491	bigDeletion
USA/WA-CDC-UW22010527203/2022	74	2	None	19292:19551	bigDeletion
USA/AL-CDC-ASC210689643/2022	75	2	None	15358:15425	bigDeletion
USA/ND-NDDH-11717/2022	76	2	None	15372:15496	bigDeletion
USA/WA-PHL-016304/2022	77	2	None	14717:14905	bigDeletion
USA/WA-PHL-018178/2022	77	2	None	14717:14905	bigDeletion
USA/WA-PHL-015944/2022	77	2	None	14717:14905	bigDeletion
USA/WA-PHL-016333/2022	78	2	None	14717:14983	bigDeletion
USA/WA-PHL-014966/2022	79	2	None	15402:15439	bigDeletion
USA/WA-PHL-012496/2022	79	2	None	15402:15439	bigDeletion
USA/WA-PHL-012377/2022	79	2	None	15402:15439	bigDeletion
USA/WA-PHL-014449/2022	79	2	None	15402:15439	bigDeletion
USA/WA-PHL-015344/2022	79	2	None	15402:15439	bigDeletion
USA/WA-PHL-012540/2022	79	2	None	15402:15439	bigDeletion
USA/WA-PHL-014601/2022	80	2	None	15447:15481	bigDeletion
USA/AZ-TG1240536/2022	81	2	None	17862:17914	bigDeletion
USA/WA-Curative-285126/2022	82	2	None	16034:16079	bigDeletion
USA/WA-PHL-014890/2022	83	2	None	17997:18031	bigDeletion
PuertoRico/PR-CDC-ASC210862273/2022	84	2	None	18014:18051	bigDeletion
USA/WA-PHL-015940/2022	85	2	None	14717:14761	bigDeletion
USA/WA-PHL-016373/2022	86	2	None	14717:14754	bigDeletion
USA/WY-Curative-244922/2022	87	2	None	16034:16079	bigDeletion
USA/WA-PHL-015250/2022	88	2	None	13652:13708	bigDeletion
USA/WA-UW-22010404660/2022	89	2	None	19316:19454	bigDeletion
USA/NJ-CDC-QDX34789625/2022	90	2	None	18162:18267	bigDeletion
USA/WA-PHL-016320/2022	91	2	None	14717:14774	bigDeletion
USA/WA-PHL-017444/2022	92	2	None	14717:14756	bigDeletion
USA/WA-Curative-182461/2022	93	2	None	16034:16079	bigDeletion
USA/WA-PHL-012848/2022	94	2	None	15336:15516	bigDeletion
USA/WA-PHL-012797/2022	95	2	None	15382:15448	bigDeletion
USA/WA-PHL-012520/2022	96	2	None	15336:15524	bigDeletion
USA/WA-PHL-015912/2022	97	2	None	14717:14983	bigDeletion
USA/MA-CDCBI-CRSP_BRZUHDQOAFZZDIKC/2022	98	2	None	19274:19338	bigDeletion
USA/MO-CDC-ASC210849057/2022	99	2	None	18649:18874	bigDeletion
USA/WA-PHL-017365/2022	100	2	None	14717:14817	bigDeletion
USA/KY-BW-1076678/2022	101	2	None	18984:19091	bigDeletion
USA/WA-Curative-240471/2022	102	2	None	16034:16079	bigDeletion
USA/WA-PHL-021233/2022	103	2	None	14717:14766	bigDeletion
USA/NH-Broad-CRSP_LBI3ZCR4WHFJ43CS/2022	104	2	None	21404:21470	bigDeletion
USA/WA-CDC-UW22030976510/2022	105	2	None	18013:18077	bigDeletion
USA/WA-PHL-010800/2022	106	2	None	15348:15395	bigDeletion
USA/WA-PHL-009918/2021	107	2	None	13485:13528	bigDeletion
USA/WA-PHL-016325/2022	108	2	None	14717:14983	bigDeletion
USA/WA-Curative-210502/2022	109	2	None	16034:16079	bigDeletion
USA/WA-CDC-UW22030118502/2022	110	2	None	16867:16954	bigDeletion
USA/MS-MSPHL-0787/2022	111	2	None	19390:19557	bigDeletion
USA/WA-PHL-012518/2022	112	2	None	15427:15478	bigDeletion
USA/WA-PHL-012483/2022	112	2	None	15427:15478	bigDeletion
USA/WA-PHL-017361/2022	113	2	None	14717:14766	bigDeletion
USA/WA-S19154/2022	114	2	None	19894:20095	bigDeletion
USA/WA-PHL-015027/2022	115	2	None	13652:13703	bigDeletion
Mexico/MEX-UGA_HRAEI_SSA_0117/2021	116	2	None	19465:19548	bigDeletion
USA/WA-PHL-015334/2022	117	2	None	13652:13703	bigDeletion
USA/WA-Curative-245091/2022	118	3	None	16034:16079	bigDeletion
USA/WA-Curative-251413/2022	118	3	None	16034:16079	bigDeletion
Suriname/SR-983/2022	119	2	None	19877:20117	bigDeletion
USA/IN-GD-041322-98/2022	120	2	None	19291:19555	bigDeletion
USA/WA-CDC-LC0499859/2022	121	2	None	18984:19091	bigDeletion
USA/VA-CDC-LC0562440/2022	122	2	None	18870:18999	bigDeletion
USA/WA-PHL-015753/2022	123	2	None	17857:17939	bigDeletion
USA/WA-Curative-291581/2022	124	2	None	16034:16079	bigDeletion
USA/WA-PHL-017769/2022	125	2	None	17831:17939	bigDeletion
USA/WA-Curative-292398/2022	126	2	None	16034:16079	bigDeletion
USA/WA-S18766/2022	127	2	None	19895:19925	bigDeletion
USA/WA-Curative-299226/2022	128	2	None	16034:16079	bigDeletion
USA/WA-PHL-009080/2021	129	2	None	19933:19980	bigDeletion
USA/WV-CDC-LC0562116/2022	130	2	None	21144:21193	bigDeletion
USA/WA-PHL-017773/2022	131	2	None	14717:14771	bigDeletion
USA/AZ-CDC-ASC210845016/2022	132	2	None	19926:19979	bigDeletion
USA/WA-PHL-015693/2022	133	2	None	14847:14933	bigDeletion
USA/SD-SDAIHG-0566/2022	134	2	None	14872:14916	bigDeletion
USA/WA-PHL-012079/2022	135	2	None	15336:15483	bigDeletion
DominicanRepublic/1847217-LNSPDD/2022	136	2	None	16186:16444	bigDeletion
USA/WA-Curative-256248/2022	137	2	None	16034:16079	bigDeletion
USA/WA-PHL-018760/2022	138	3	None	14717:14766	bigDeletion
USA/WA-PHL-018763/2022	138	3	None	14717:14766	bigDeletion
USA/WA-PHL-017419/2022	139	2	None	14717:14983	bigDeletion
Venezuela/Dtt534/2022	140	2	None	21454:21551	bigDeletion
USA/WA-PHL-017339/2022	141	2	None	14717:14983	bigDeletion
USA/WA-PHL-017375/2022	142	2	None	14717:14983	bigDeletion
USA/WA-PHL-017457/2022	143	2	None	17906:17939	bigDeletion
USA/WA-PHL-016407/2022	144	2	None	19933:19975	bigDeletion
USA/WA-PHL-016393/2022	145	2	None	14717:14756	bigDeletion
USA/WA-PHL-016347/2022	146	2	None	14717:14756	bigDeletion
Georgia/Tb-sNGS2203/2021	147	2	None	15139:15237	bigDeletion
USA/WA-PHL-011698/2022	148	2	None	13652:13757	bigDeletion
Luxembourg/LNS4850737/2022	149	2	None	21207:21449	bigDeletion
Belarus/BR-CRIE-7740894612/2022	150	2	None	14601:14746	bigDeletion
USA/WA-CDC-LC0560674/2022	151	2	None	21120:21222	bigDeletion
USA/KY-GD-122821-68/2021	152	2	None	19312:19423	bigDeletion
USA/NM-TG1337300/2022	153	2	None	14739:14971	bigDeletion
USA/MN-MDH-23325/2022	154	2	None	17997:18267	bigDeletion
USA/WA-CDC-UW22010880901/2022	155	2	None	19292:19551	bigDeletion
USA/WA-PHL-012529/2022	156	2	None	15336:15494	bigDeletion
USA/WA-PHL-016309/2022	157	2	None	19877:19929	bigDeletion
USA/WA-PHL-019367/2022	158	3	None	14717:14771	bigDeletion
USA/WA-PHL-019371/2022	158	3	None	14717:14771	bigDeletion
USA/WA-PHL-020484/2022	158	3	None	14717:14771	bigDeletion
USA/WA-PHL-017670/2022	159	2	None	14717:14761	bigDeletion
USA/WA-PHL-018019/2022	160	2	None	14717:14774	bigDeletion
USA/WA-PHL-019443/2022	161	2	None	14717:14983	bigDeletion
USA/WA-PHL-012629/2022	162	2	None	15370:15449	bigDeletion
USA/WA-Curative-156627/2022	163	2	None	16034:16079	bigDeletion
USA/WA-Curative-223061/2022	163	2	None	16034:16079	bigDeletion
USA/WA-PHL-015444/2022	164	2	None	13666:13703	bigDeletion
USA/WA-PHL-016403/2022	165	2	None	19877:20108	bigDeletion
USA/WA-PHL-016401/2022	165	2	None	19877:20108	bigDeletion
USA/MA-CDCBI-CRSP_FVOBNEACGADOSQZQ/2022	166	2	None	19342:19401	bigDeletion
USA/VT-CDCBI-CRSP_4DH4UXDKAYZ5J6ZI/2021	166	2	None	19342:19401	bigDeletion
USA/WA-UW-22010998156/2022	167	2	None	19275:19570	bigDeletion
USA/WA-PHL-016302/2022	168	2	None	14847:14905	bigDeletion
USA/WA-PHL-021975/2022	169	2	None	14717:14766	bigDeletion
USA/WA-Curative-227793/2022	170	2	None	16034:16079	bigDeletion
USA/WA-Curative-241348/2022	170	2	None	16034:16079	bigDeletion
USA/CA-CDPH-3000305103/2022	171	2	None	19344:19456	bigDeletion
USA/ME-HETL-J14192/2021	172	2	None	19900:19931	bigDeletion
USA/KS-CDC-ASC210755830/2022	172	2	None	19900:19931	bigDeletion
USA/AZ-ASU79750/2021	173	2	None	19903:20117	bigDeletion
USA/WA-PHL-012493/2022	174	2	None	15465:15510	bigDeletion
USA/WA-PHL-011616/2022	175	2	None	15418:15456	bigDeletion
USA/WA-PHL-011285/2022	175	2	None	15418:15456	bigDeletion
USA/WA-PHL-012482/2022	176	2	None	15336:15504	bigDeletion
USA/WA-PHL-012547/2022	176	2	None	15336:15504	bigDeletion
USA/WA-PHL-012180/2022	177	2	None	15446:15483	bigDeletion
USA/WA-PHL-012465/2022	177	2	None	15446:15483	bigDeletion
USA/WA-PHL-011881/2022	178	2	None	15412:15483	bigDeletion
USA/WA-PHL-011172/2022	178	2	None	15412:15483	bigDeletion
USA/WA-PHL-012706/2022	179	2	None	15353:15509	bigDeletion
USA/IL-CDC-ASC210694833/2022	179	2	None	15353:15509	bigDeletion
USA/WA-Curative-152816/2022	180	2	None	16034:16079	bigDeletion
USA/WA-Curative-320316/2022	181	2	None	16034:16079	bigDeletion
USA/WA-Curative-216501/2022	182	2	None	16034:16079	bigDeletion
USA/WA-PHL-021191/2022	183	3	None	14717:14983	bigDeletion
USA/WA-PHL-021225/2022	183	3	None	14717:14983	bigDeletion
USA/OK-OKPHLCOV0009259/2021	184	2	None	20235:20479	bigDeletion
USA/WA-CDC-UW21122762315/2021	185	2	None	20248:20291	bigDeletion
USA/WA-CDC-UW21122039065/2021	186	2	None	19448:19493	bigDeletion
USA/WA-CDC-UW22020986611/2022	186	2	None	19448:19493	bigDeletion
Nigeria/BCVL_GHRU_32998_S51/2022	187	2	None	15122:15170	bigDeletion
USA/NH-CDCBI-CRSP_V7RWPR5AJV2NH3DM/2022	188	2	None	20037:20366	bigDeletion
USA/WA-CDC-UW22031426833/2022	189	2	None	21147:21222	bigDeletion
USA/WA-CDC-UW22020360467/2022	190	2	None	13388:13608	bigDeletion
USA/WA-PHL-014673/2022	191	2	None	15393:15483	bigDeletion
USA/WA-PHL-021198/2022	192	2	None	14717:14983	bigDeletion
USA/WA-PHL-021257/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021214/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021277/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021240/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021338/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021261/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021357/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021314/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021365/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021232/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021241/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021244/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021301/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021250/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021963/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-022001/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021351/2022	193	2	None	14717:14749	bigDeletion
USA/WA-PHL-021331/2022	193	2	None	14717:14749	bigDeletion
USA/WA-Curative-193626/2022	194	2	None	16034:16079	bigDeletion
USA/WA-Curative-105832/2022	194	2	None	16034:16079	bigDeletion
USA/WA-CDC-UW22010458650/2022	195	2	None	19465:19551	bigDeletion
USA/WA-UW-22020815459/2022	196	2	None	19292:19551	bigDeletion
USA/WA-PHL-012486/2022	197	2	None	15336:15483	bigDeletion
USA/WA-CDC-UW22020245292/2022	198	2	None	19292:19345	bigDeletion
Chile/AN-55395/2022	199	2	None	14919:15179	bigDeletion
USA/WA-PHL-014397/2022	200	2	None	15366:15511	bigDeletion
USA/WA-CDC-UW22020957107/2022	201	2	None	19292:19551	bigDeletion
USA/WA-Curative-202782/2022	202	2	None	16034:16079	bigDeletion
USA/WA-Curative-291486/2022	202	2	None	16034:16079	bigDeletion
USA/WA-Curative-263839/2022	202	2	None	16034:16079	bigDeletion
Slovakia/run220208_RUVZ_BB-22-0375/2021	203	2	None	19297:19551	bigDeletion
Kuwait/Jaber2220136097/2022	204	2	None	19275:19570	bigDeletion
Senegal/293684/2021	205	2	None	19293:19551	bigDeletion
Portugal/APO-9378/2021	206	2	None	15336:15557	bigDeletion
Macau/NMA9990/2021	206	2	None	15336:15557	bigDeletion
Guinea-Bissau/82J1827DE/2022	206	2	None	15336:15557	bigDeletion
SaoTomeandPrincipe/1457/2021	206	2	None	15336:15557	bigDeletion
EastTimor/898261/2022	206	2	None	15336:15557	bigDeletion
Luxembourg/LNS0737570/2021	207	2	None	21199:21457	bigDeletion
Angola/CERI-KRISP-K037063/2022	208	2	None	21374:21471	bigDeletion
AntiguaandBarbuda/129042/2022	209	2	None	14545:14579	bigDeletion
Belgium/Jessa-11-2151-000787LKO/2021	210	2	None	14471:14515	bigDeletion
USA/MN-MDH-23458/2022	211	2	None	17997:18267	bigDeletion
USA/WA-PHL-017427/2022	212	2	None	17831:17939	bigDeletion
Armenia/IMB17-13/2022	213	2	None	16186:16444	bigDeletion
USA/WA-CDC-UW21122045403/2021	214	2	None	19292:19551	bigDeletion
Cameroon/CoV5465/2022	215	2	None	19382:19454	bigDeletion
USA/WA-Curative-198115/2022	216	2	None	16034:16079	bigDeletion
USA/WA-Curative-294676/2022	216	2	None	16034:16079	bigDeletion
USA/WA-PHL-017757/2022	217	2	None	17857:17939	bigDeletion
USA/WA-PHL-017887/2022	218	2	None	14717:14771	bigDeletion
USA/WA-OHSU-213502103/2021	219	2	None	19290:19391	bigDeletion
USA/WA-CDC-UW21120830087/2021	220	2	None	20460:20575	bigDeletion
USA/WA-CDC-UW21120882966/2021	220	2	None	20460:20575	bigDeletion
USA/WA-CDC-UW21120814978/2021	220	2	None	20460:20575	bigDeletion
USA/WA-CDC-UW21122081418/2021	221	3	None	20460:20575	bigDeletion
USA/WA-CDC-UW21120860066/2021	221	3	None	20460:20575	bigDeletion
USA/WA-UW-21122271780/2021	221	3	None	20460:20575	bigDeletion
USA/WA-CDC-UW22011385891/2022	221	3	None	20460:20575	bigDeletion
Malta/MDxMDHO54/2021	222	2	None	14552:14633	bigDeletion
USA/WA-CDC-UW21122068932/2021	223	2	None	20460:20575	bigDeletion
USA/DC-Curative-192776/2022	223	2	None	20460:20575	bigDeletion
USA/WA-Curative-151955/2022	224	2	None	16034:16079	bigDeletion
USA/WA-CDC-UW22012269368/2022	225	2	None	19292:19551	bigDeletion
USA/NC-CDC-ASC210572792/2021	226	2	None	18114:18149	bigDeletion
USA/WA-PHL-014764/2022	227	2	None	15336:15505	bigDeletion
USA/WA-PHL-014656/2022	227	2	None	15336:15505	bigDeletion
Australia/VIC34429/2022	228	2	None	19879:19956	bigDeletion
Zimbabwe/S_3039_B26/2021	228	2	None	19879:19956	bigDeletion
PapuaNewGuinea/PNG7160/2021	229	2	None	14717:14983	bigDeletion
USA/DC-CDC-LC0448482/2021	229	2	None	14717:14983	bigDeletion
USA/AZ-ASU55865/2021	230	2	None	18218:18258	bigDeletion
USA/WA-Curative-232913/2022	231	2	None	16034:16079	bigDeletion
USA/WA-Curative-266080/2022	231	2	None	16034:16079	bigDeletion
USA/WA-Curative-241611/2022	232	2	None	16034:16079	bigDeletion
Kiribati/KIR054/2022	233	2	None	19903:20004	bigDeletion
Kiribati/KIR047/2022	234	2	None	19989:20117	bigDeletion
CaboVerde/1415/2022	235	2	None	19296:19551	bigDeletion
Kosovo/CO-00664-XXK000_9803_NIPH_Jan_2022/2022	236	2	None	14312:14434	bigDeletion
CaboVerde/43434/2021	237	2	None	19396:19551	bigDeletion
Italy/LAZ-AMC-2201041076-DS/2022	237	2	None	19396:19551	bigDeletion
USA/WA-Curative-138271/2022	238	2	None	16034:16079	bigDeletion
Cyprus/375807_S23_28_12/2021	239	2	None	18111:18143	bigDeletion
USA/TX-HMH-MCoV-82345/2022	240	2	None	19877:19983	bigDeletion
USA/WA-CDC-LC0445789/2021	241	2	None	18984:19179	bigDeletion
USA/WA-PHL-012491/2022	242	2	None	15336:15557	bigDeletion
USA/WA-PHL-012503/2022	242	2	None	15336:15557	bigDeletion
USA/WA-ASU65597/2022	243	2	None	17997:18267	bigDeletion
USA/MS-SRL_331784254/2021	244	2	None	16567:16688	bigDeletion
USA/WA-Curative-123325/2022	245	2	None	16034:16079	bigDeletion
USA/WA-Curative-190912/2022	246	2	None	16034:16079	bigDeletion
USA/WA-CDC-UW22020431269/2022	247	2	None	18852:18901	bigDeletion
USA/WA-CDC-LC0520697/2022	248	2	None	19047:19091	bigDeletion
USA/WA-PHL-014894/2022	249	2	None	15380:15422	bigDeletion
USA/WA-CDC-UW21122832992/2021	250	2	None	19293:19551	bigDeletion
USA/WA-PHL-021217/2022	251	2	None	14717:14983	bigDeletion
USA/WA-PHL-011170/2022	252	2	None	15446:15510	bigDeletion
USA/WA-PHL-009332/2021	253	2	None	13435:13526	bigDeletion
USA/MI-MDHHS-SC37995/2021	254	2	None	16495:16639	bigDeletion
USA/WA-CDC-UW21121737558/2021	255	2	None	19292:19501	bigDeletion
USA/WA-CDC-UW21122174874/2021	256	2	None	19463:19493	bigDeletion
USA/WA-Curative-152354/2022	257	2	None	16034:16079	bigDeletion
USA/WA-UW-22020469781/2022	258	2	None	19292:19551	bigDeletion
USA/WA-PHL-014504/2022	259	2	None	15354:15393	bigDeletion
USA/WA-PHL-008989/2021	260	2	None	19296:19389	bigDeletion
USA/WA-Curative-101505/2022	261	2	None	16034:16079	bigDeletion
USA/WA-PHL-011664/2022	262	2	None	13675:13708	bigDeletion
USA/OR-TRACE-MARI-112321-1268/2021	263	2	None	18555:18599	bigDeletion
USA/WA-CDC-UW21121859989/2021	264	2	None	19292:19551	bigDeletion
USA/WA-CDC-UW22011001726/2022	265	2	None	19390:19422	bigDeletion
USA/WA-PHL-016415/2022	266	2	None	19877:20117	bigDeletion
Palestine/QIBPS-OM_5_S26/2022	267	2	None	19390:19551	bigDeletion
Senegal/296175/2022	267	2	None	19390:19551	bigDeletion
Paraguay/470462/2022	268	2	None	16983:17091	bigDeletion
USA/WA-PHL-024321/2022	269	2	None	14717:14983	bigDeletion
USA/WA-UW-22072695278/2022	270	2	None	19877:19929	bigDeletion
USA/WA-PHL-027120/2022	271	2	None	14717:14768	bigDeletion
USA/CT-YPL22-40869/2022	272	2	None	19293:19551	bigDeletion
USA/IN-CDC-LC0890375/2022	273	2	None	21120:21222	bigDeletion
USA/WY-WYPHL-22053036/2022	274	2	None	20676:21025	bigDeletion
PuertoRico/PR-CVL-007556/2022	274	2	None	20676:21025	bigDeletion
USA/WA-PHL-024458/2022	275	2	None	14717:14983	bigDeletion
Malawi/NHRL-0401/2022	276	2	None	20676:21562	bigDeletion
USA/LA-PHL-LA-SARS2-00984/2022	277	2	None	15535:15606	bigDeletion
USA/WA-PHL-026123/2022	278	2	None	14717:14905	bigDeletion
USA/CA-SLOPH-C1598/2022	279	2	None	20676:21562	bigDeletion
USA/ME-HETL-J15971/2022	280	3	None	15439:15509	bigDeletion
USA/VT-ASC-210826583/2022	280	3	None	15439:15509	bigDeletion
USA/KY-ASC-210797256/2022	280	3	None	15439:15509	bigDeletion
USA/WA-PHL-030953/2022	281	2	None	14717:14762	bigDeletion
USA/WA-PHL-031146/2022	282	2	None	14717:14759	bigDeletion
USA/WA-PHL-031676/2022	282	2	None	14717:14759	bigDeletion
USA/NV-NSPHL-22-00061361/2022	283	2	None	20676:21562	bigDeletion
USA/IA-SHL-2170635/2022	284	2	None	20676:21562	bigDeletion
USA/WA-PHL-025565/2022	285	2	None	14717:14767	bigDeletion
USA/WA-PHL-024594/2022	286	2	None	13726:13775	bigDeletion
USA/WA-PHL-030570/2022	287	2	None	14717:14756	bigDeletion
USA/WA-PHL-027734/2022	287	2	None	14717:14756	bigDeletion
USA/WA-PHL-027062/2022	287	2	None	14717:14756	bigDeletion
USA/NE-NPHL22-17755/2022	288	2	None	20676:21562	bigDeletion
USA/WA-PHL-027045/2022	289	2	None	17857:17896	bigDeletion
USA/KS-KHEL-12646/2022	290	2	None	20676:21562	bigDeletion
USA/WA-PHL-023130/2022	291	2	None	14717:14777	bigDeletion
USA/WA-PHL-027110/2022	292	2	None	14717:14801	bigDeletion
USA/WA-PHL-027154/2022	293	2	None	14717:14776	bigDeletion
USA/MS-UMMC-M781F2-535680/2022	294	2	None	17800:17853	bigDeletion
USA/WA-UW-22062936928/2022	295	2	None	20460:20575	bigDeletion
USA/WA-PHL-024665/2022	296	2	None	19956:20029	bigDeletion
USA/WA-UW-22080800177/2022	297	2	None	17997:18267	bigDeletion
USA/IN-INSPHL-18034/2022	298	2	None	20676:21562	bigDeletion
USA/WA-PHL-024899/2022	299	2	None	19877:19918	bigDeletion
USA/MD-MDH-7315/2022	300	2	None	13652:13695	bigDeletion
USA/WA-PHL-024109/2022	301	2	None	19969:20060	bigDeletion
