strain	cluster	depth	ORF6_misStops	ORF6_deletions	ORF6_koType
USA/TX-DSHS-13485/2021	98	2	None	27120:27325	bigDeletion
USA/CO-CDPHE-2101556444/2021	99	2	None	27175:27227	bigDeletion
USA/MT-FYR-1055/2021	100	2	None	26835:27808	bigDeletion
USA/WY-WYPHL-21126762/2021	101	2	None	27190:27471	bigDeletion
USA/WA-S14280/2021	102	2	None	27271:27384	bigDeletion
USA/TX-DSHS-12969/2021	103	2	None	26835:27430	bigDeletion
USA/WA-UW-21090616775/2021	104	2	None	27232:28142	bigDeletion
USA/WA-S13588/2021	105	2	None	27233:28142	bigDeletion
env/USA/CA-SEARCH-73079/2022	106	2	None	27216:27399	bigDeletion
USA/CO-CDPHE-2101939787/2021	107	2	None	27175:27227	bigDeletion
USA/WA-PHL-002469/2021	108	2	None	27294:28250	bigDeletion
USA/NV-NSPHL-22-00034903/2022	109	2	None	26835:27808	bigDeletion
USA/WA-PHL-006272/2021	110	2	None	27383:27546	bigDeletion
USA/WA-PHL-006242/2021	110	2	None	27383:27546	bigDeletion
USA/NM-Curative-147607/2021	111	2	None	27221:27394	bigDeletion
USA/NV-NSPHL-22-00009190/2022	112	2	None	26835:27808	bigDeletion
USA/IL-RIPHL_110507_G/2022	113	2	None	27221:27367	bigDeletion
