strain	cluster	depth	ORF8_misStops	ORF8_deletions	ORF8_koType
Finland/THL-202121371/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Sweden/1450880364/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Poland/PL_P3140/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Poland/PL_P1997/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/CT-Yale-7833/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/MD-CDC-LC0158487/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/TX-CDC-QDX26487858/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/ME-HETL-J4732/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-2021033004909/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/CA-CDPH1897/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/CA-CDC-STM-000046159/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/CA-CDPH1957/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-68011/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-2021040611183/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Morocco/FMP-207/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Malaysia/MGI_DNALAB-DM210308530/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Malaysia/MGI_MGI85/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Malaysia/IMR_WC377524/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Malaysia/IMR_WC354251/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Malaysia/IMR_WC368831/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
England/QEUH-13CDD6C/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/KY-CDC-ASC210107919/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Romania/IS-18442/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Oman/5211315/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Russia/MOW-CRIE-D189M3434/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
England/QEUH-1894C6C/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
England/ALDP-1703768/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Malta/MDxMDH484/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Slovenia/MB_6/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
TrinidadandTobago/60336/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
TrinidadandTobago/60348/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
TrinidadandTobago/60346/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Belgium/UZA-UA-CV2080990914/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Spain/CL-COV09773/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Spain/CL-COV14028/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Spain/CL-COV20631/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Spain/CL-COV15596/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Poland/NIPH-NIH_ECDC-4058/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Hungary/UD-V147/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Moldova/S3331Nr3/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Moldova/un-ChVir25840/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Slovakia/UVZ_PL23_G9_13026/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Andorra/AND-234_2118914268_GC/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Iceland/8733/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Curacao/CW-RIVM-44490/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Luxembourg/LNS1890643/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Spain/CM-HGUCR-730781/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Spain/CM-HGUCR-730782/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
CzechRepublic/UMTM234654/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Portugal/PT14122/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Portugal/PT13863/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-36303/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
France/GP-HMN-21072050404/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-36273/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-40532/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Guadeloupe/IPP12983/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-33597/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-41553/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-43090/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-55328/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-39375/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-34829/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-40521/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-44451/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SintMaarten/SX-RIVM-42356/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Belgium/AZDelta-19096-2121R/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mexico/SN-ALSR-110379/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mexico/CHH-InDRE_FB14223_S1765/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/NM-CDC-QDX24840106/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/NM-NMDOH-2021083628/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/NMDOH-2021106254/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Belarus/HM-CRIE-L219T0077u/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21072956939/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21080694872/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-CDC-UW21073008093/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21081538284/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21080287734/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21072592861/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21072571784/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21080350518/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21081516472/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-CDC-UW21073044170/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
env/Liechtenstein/CeMM8894/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Madagascar/IPM-03433/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SriLanka/QCF12/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Oman/5211886/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA1714/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA5511/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA1764/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA5559/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA3728/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA3942/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA4224/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA4289/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA4261/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA4201/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA8397/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA6781/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA6165/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA11662/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA12697/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-DNC23446/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-DNC15844/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-N9930/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Eswatini/N10419/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-N8749/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-N8880/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-N8377/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Eswatini/N10421/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Eswatini/N10420/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Eswatini/N10446/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Eswatini/N10435/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-DNC12671/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-N7324/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-N13511/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NHLS-UCT-LA-Z600/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NHLS-UCT-AM-Z027/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/Tygerberg_1138/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-N2691/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Australia/NSW-R0397/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-R01882/2022	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-819931/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NICD-N11540/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/KRISP-K021290/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Italy/EMR-UOM-PVS_64720587/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21041211154/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21042179080/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
England/ALDP-1473FF5/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Iraq/DSeq-C15/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_122404/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_121830/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_117022/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-2021040708554/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21041519727/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21041251359/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-UW-21041464840/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Kuwait/SKS00105-JAH/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_110223/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_RP_032/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Australia/NSW1429/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_118253/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_115338/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_110535/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Brazil/SP-IB_102825/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Canada/BC-BCCDC-9557/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Canada/ON-KHS-21-04353-v1/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/10011758/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/UB-347946/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
England/NORT-YYFMTE/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/10011796/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/UB-295210/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/10011733/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/Sukhbaatar-250903/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/UB-277687/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/UB-249069/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/UB-301803/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/10011746/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/10011892/2022	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/WOR12903A1201_3002951738_202103669_2-4902554/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/WOR12903A1203_3002951735_202103666_2-4902556/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/WOR12903A1237_3002951748_202103679_2-4902590/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/WOR12903A1208_3002951736_202103667_2-4902561/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Mongolia/WOR12903A1223_3002951737_202103668_2-4902576/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Turkey/HSGM-1202/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
UnitedArabEmirates/BTC-4919/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Jordan/AM-ALSR-5805/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Singapore/231/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Cyprus/BMVUCY760/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Rwanda/NRLNAT4243/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Rwanda/NRLNAT4214/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Rwanda/NRLNAT4177/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Rwanda/NRLNAT4248/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Bahrain/NPS-23/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NHLS-UCT-AM-9017/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthAfrica/NHLS-UCT-AM-9016/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
SouthKorea/KDCA3889/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Philippines/PH-PGC-07121/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Bahrain/NPS-11/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Bahrain/NPS-40/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Netherlands/ZE-RIVM-18123/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Belgium/rega-2808/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Belgium/Jessa_55-2109-000614/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Netherlands/UT-RIVM-21544/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Netherlands/UT-RIVM-12520/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Netherlands/UT-RIVM-42759/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Europe/France/ARA-CHUST-GIMAP-10/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Curacao/CW-RIVM-36912/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Curacao/CW-RIVM-36976/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Netherlands/NB-MVD-CWGS2101272/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Netherlands/NB-RIVM-43954/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Curacao/CW-RIVM-44525/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Netherlands/NH-RIVM-47898/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Cameroon/NPHL-NS10.7/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Belgium/rega-7524/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Belgium/rega-13125/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Slovenia/17-067047-CE/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Slovenia/90-033482-NM/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Slovenia/325608/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/8198/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/1507/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/2951/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/11142/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/415-p/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/26467/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/10105-k/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/41416/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/41417/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/137661/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/89086/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/17183/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/79176/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/188948/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/17201/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/188107/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/135988/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Israel/SMC-7006451/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Germany/NW-RKI-I-191551/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/FL-BPHL-5060/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/FL-BPHL-4743/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WV-CDC-LC0166619/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/39638/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Bulgaria/21BG-EU_003038_Pl27/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Bulgaria/21BG-EU_003310_Pl29/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Kosovo/ChVir25780_15/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Kosovo/ChVir25780_10/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/10140087/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
NorthMacedonia/41667/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/EKAR_88558/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Kosovo/ChVir23120/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Kosovo/ChVir23121/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Greece/201441/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Iceland/7117/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Iceland/7116/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Bulgaria/21BG-EU_501_Pl6/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Kuwait/KU-4070/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Norway/7199/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Norway/7200/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/OH-ODH-SC29832/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/OH-CDC-LC0043875/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/KY-GD-061521-21042875127/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/OH-CDC-QDX25891205/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/IN-CDC-ASC210188597/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/OH-2379/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/WA-CDC-QDX24713550/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/GA-GPHL-1110/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/GA-GPHL-1093/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Japan/IC-0499/2020	1	29	27971-27973:CAA>TAA	None	earlyStop
Georgia/Tb-SNGS038/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Germany/SH-RKI-I-211316/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Senegal/SN-IR1-0029509/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/20092/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/15248/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/19173/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/15249/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/13547/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/21358/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/024461/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/PF6144/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
Gambia/PF6139/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/TX-CDC-3966079-001/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/LA-CDC-ASC210000287/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
USA/TN-CDC-3980527-001/2021	1	29	27971-27973:CAA>TAA	None	earlyStop
