strain	cluster	depth	ORF1b_misStops	ORF1b_deletions	ORF1b_koType
Senegal/177549/2021	28	2	None	19290:19553	bigDeletion
India/PB-IGIB-SBS1047931/2021	29	2	None	19290:19551	bigDeletion
Jordan/MoH-532/2021	30	2	None	14474:14514	bigDeletion
India/AP-CCMB-CIB7539/2021	31	2	None	19275:19570	bigDeletion
India/AP-CCMB-CIB7540/2021	31	2	None	19275:19570	bigDeletion
Germany/NW-RKI-I-330585/2021	32	2	None	15956:16045	bigDeletion
env/Austria/CeMM4509/2021	33	2	None	19275:19365	bigDeletion
USA/NC-ECU-CORVASEQ-106530675/2021	34	2	None	19289:19562	bigDeletion
USA/NY-CDC-STM-000009052/2021	35	2	None	19293:19557	bigDeletion
USA/WI-UW-4126/2021	36	2	None	19275:19570	bigDeletion
Kenya/MKU-30/2020	37	2	None	18675:18855	bigDeletion
USA/CT-Yale-7833/2021	38	2	None	19275:19570	bigDeletion
USA/WA-UW-68011/2021	39	2	None	19292:19551	bigDeletion
USA/KY-CDC-ASC210107919/2021	40	2	None	19399:19507	bigDeletion
Malta/MDxMDH484/2021	41	2	None	14552:14633	bigDeletion
TrinidadandTobago/60336/2021	42	3	None	19275:19570	bigDeletion
TrinidadandTobago/60348/2021	42	3	None	19275:19570	bigDeletion
TrinidadandTobago/60346/2021	42	3	None	19275:19570	bigDeletion
Moldova/un-ChVir25840/2021	43	2	None	17197:17227	bigDeletion
Spain/CM-HGUCR-730782/2021	44	2	None	18404:18439	bigDeletion
USA/NM-NMDOH-2021083628/2021	45	2	None	19289:19559	bigDeletion
USA/WA-CDC-UW21073008093/2021	46	2	None	19352:19454	bigDeletion
env/Liechtenstein/CeMM8894/2021	47	2	None	20542:20813	bigDeletion
Madagascar/IPM-03433/2021	48	2	None	19299:19566	bigDeletion
SouthKorea/KDCA1714/2021	49	2	None	19436:19561	bigDeletion
SouthKorea/KDCA5511/2021	50	2	None	16491:16765	bigDeletion
Eswatini/N10420/2021	51	2	None	16179:16450	bigDeletion
SouthAfrica/NICD-N13511/2021	52	2	None	16388:16449	bigDeletion
Australia/NSW-R0397/2021	53	2	None	20670:20905	bigDeletion
SouthAfrica/NICD-N11540/2021	54	2	None	16180:16285	bigDeletion
Brazil/SP-IB_121830/2021	55	2	None	13470:13512	bigDeletion
Cyprus/BMVUCY760/2021	56	2	None	19478:19551	bigDeletion
SouthKorea/KDCA3889/2021	57	2	None	19301:19551	bigDeletion
Cameroon/NPHL-NS10.7/2021	58	2	None	19275:19570	bigDeletion
Greece/137661/2021	59	2	None	16485:16770	bigDeletion
Greece/79176/2020	59	2	None	16485:16770	bigDeletion
Israel/SMC-7006451/2021	60	2	None	21275:21317	bigDeletion
Kuwait/KU-4070/2021	61	2	None	19275:19570	bigDeletion
Gambia/20092/2021	62	2	None	19275:19570	bigDeletion
Gambia/15248/2021	62	2	None	19275:19570	bigDeletion
Gambia/19173/2021	62	2	None	19275:19570	bigDeletion
Gambia/15249/2021	62	2	None	19275:19570	bigDeletion
Gambia/13547/2021	62	2	None	19275:19570	bigDeletion
Gambia/21358/2021	62	2	None	19275:19570	bigDeletion
Gambia/024461/2021	62	2	None	19275:19570	bigDeletion
USA/WA-S8068/2021	63	2	None	19292:19551	bigDeletion
USA/WA-S7771/2021	63	2	None	19292:19551	bigDeletion
USA/WA-S8359/2021	64	2	None	19292:19493	bigDeletion
Djibouti/NAMRU3_C478/2021	65	2	None	19275:19570	bigDeletion
USA/AL-Lee-SL-21043060005/2021	66	2	None	19292:19551	bigDeletion
Jamaica/55058/2021	66	2	None	19292:19551	bigDeletion
Kyrgyzstan/NRL-53738/2021	67	2	None	15057:15105	bigDeletion
USA/VA-DCLS-5761/2021	68	2	None	19288:19331	bigDeletion
USA/WA-S8684/2021	69	2	None	19292:19551	bigDeletion
USA/WA-CDC-UW21061550502/2021	70	2	None	17854:17954	bigDeletion
USA/WA-S7774/2021	71	2	None	19292:19503	bigDeletion
USA/MT-MTPHL-21310056/2021	72	2	None	16485:16578	bigDeletion
Jamaica/34614/2021	73	2	None	17905:17970	bigDeletion
USA/WA-Altius-ALTCOV-KYUALJFX3ENOVLUF/2021	74	2	None	13497:13537	bigDeletion
Jamaica/34700/2021	75	2	None	21152:21398	bigDeletion
USA/NE-NCOV21-20594/2021	76	2	None	18099:18276	bigDeletion
USA/MO-CDC-QDX24603739/2021	77	2	None	20231:20322	bigDeletion
USA/WA-S8243/2021	78	2	None	19344:19485	bigDeletion
USA/MA-CDCBI-CRSP_N6PJMDOHVV7RLGDP/2021	79	2	None	19911:20200	bigDeletion
USA/IL-S21WGS2667/2021	80	2	None	21170:21313	bigDeletion
USA/WA-CDC-FG-035863/2021	81	2	None	21422:21486	bigDeletion
Jamaica/34702/2021	82	2	None	21316:21365	bigDeletion
USA/OH-GD-SID-21042363772/2021	83	2	None	19292:19552	bigDeletion
USA/WA-CDC-UW21051744074/2021	84	2	None	19414:19459	bigDeletion
USA/WA-S9179/2021	84	2	None	19414:19459	bigDeletion
USA/WA-S8446/2021	84	2	None	19414:19459	bigDeletion
USA/WA-S9309/2021	84	2	None	19414:19459	bigDeletion
USA/WA-CDC-UW21052620461/2021	85	2	None	19934:20047	bigDeletion
Qatar/QA.QU_18.12.F5/2021	86	2	None	19275:19570	bigDeletion
Qatar/QA.QU_18.10.A11/2021	86	2	None	19275:19570	bigDeletion
Romania/Arges_463931/2021	87	2	None	15965:16047	bigDeletion
Ecuador/USFQ-1093/2021	88	2	None	19275:19570	bigDeletion
Ecuador/NIC-INSPI-341619/2021	89	4	None	21448:21551	bigDeletion
Ecuador/NIC-INSPI-350796/2021	89	4	None	21448:21551	bigDeletion
Ecuador/NIC-INSPI-352389/2021	89	4	None	21448:21551	bigDeletion
Ecuador/USFQ-1433/2021	90	2	None	21427:21682	bigDeletion
Ecuador/USFQ-1310/2021	91	2	None	19275:19570	bigDeletion
Guinea/Conakry_21193/2021	92	3	None	19297:19551	bigDeletion
Guinea/Conakry_21225/2021	92	3	None	19297:19551	bigDeletion
Liechtenstein/FL-Risch-2152300452/2021	93	2	None	19275:19570	bigDeletion
USA/WI-UW-4195/2021	94	2	None	19275:19570	bigDeletion
USA/WV-WVU-WV064869/2021	95	2	None	13442:13606	bigDeletion
USA/IN-GD-SID-C21183631/2021	96	2	None	21292:21337	bigDeletion
USA/WA-CDC-UW21052072580/2021	96	2	None	21292:21337	bigDeletion
USA/MA-CDC-ASC210108383/2021	97	2	None	19412:19477	bigDeletion
USA/WA-UW-68507/2021	97	2	None	19412:19477	bigDeletion
USA/IN-GD-071321-C21198961/2021	98	2	None	16209:16420	bigDeletion
USA/WA-S10020/2021	99	2	None	19296:19551	bigDeletion
Qatar/QA-QU_18-3-A11/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_17-F1/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_18-4-C1/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_18-5-1-C10/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_18-5-1-F7/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_18-7-F11/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_17-G1/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_17-G4/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA.QU_18.12.E6/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_18-F10/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_18-F7/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_18-5-1-E11/2021	100	2	None	19517:19570	bigDeletion
Qatar/QA-QU_17-H8/2021	101	2	None	19275:19570	bigDeletion
USA/CO-CDPHE-2101394877/2021	102	2	None	13363:13625	bigDeletion
USA/WA-S8014/2021	103	3	None	19311:19341	bigDeletion
USA/WA-S8360/2021	103	3	None	19311:19341	bigDeletion
USA/WA-S8308/2021	103	3	None	19311:19341	bigDeletion
USA/WA-S8361/2021	103	3	None	19311:19341	bigDeletion
USA/WA-S8698/2021	103	3	None	19311:19341	bigDeletion
USA/WA-CDC-UW21051271521/2021	104	2	None	19347:19552	bigDeletion
USA/WA-CDC-UW21050678123/2021	104	2	None	19347:19552	bigDeletion
USA/WA-UW-21050534548/2021	104	2	None	19347:19552	bigDeletion
USA/WA-S8154/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S7723/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S9265/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S8299/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S6095/2021	105	2	None	19410:19485	bigDeletion
USA/WA-UW-21042987183/2021	105	2	None	19410:19485	bigDeletion
USA/WA-OHSU-212100107/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S5891/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S7756/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S7751/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S7637/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S9216/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S7371/2021	105	2	None	19410:19485	bigDeletion
USA/WA-S5878/2021	105	2	None	19410:19485	bigDeletion
USA/WA-CDC-UW21051065230/2021	106	2	None	19292:19551	bigDeletion
USA/MT-MTPHL-3823760/2021	107	2	None	21427:21682	bigDeletion
USA/WA-CDC-UW21042977090/2021	108	2	None	21448:21499	bigDeletion
USA/WA-UW-21042610112/2021	109	3	None	19465:19551	bigDeletion
USA/WA-CDC-UW21042815342/2021	109	3	None	19465:19551	bigDeletion
USA/WA-UW-21042674839/2021	109	3	None	19465:19551	bigDeletion
USA/WA-UW-21042653478/2021	109	3	None	19465:19551	bigDeletion
USA/WA-UW-21051445488/2021	110	2	None	19376:19551	bigDeletion
USA/WA-UW-21042635339/2021	111	2	None	21477:21527	bigDeletion
USA/WA-UW-21042601024/2021	111	2	None	21477:21527	bigDeletion
USA/WA-CDC-UW21050335924/2021	111	2	None	21477:21527	bigDeletion
Greece/133536/2021	112	2	None	16485:16564	bigDeletion
Cyprus/BMV857/2021	113	2	None	17828:17904	bigDeletion
Cyprus/BMV1350/2021	114	2	None	14312:14434	bigDeletion
Cyprus/BMV1397/2021	115	2	None	19451:19513	bigDeletion
Cyprus/BMV1400/2021	115	2	None	19451:19513	bigDeletion
Cyprus/BMV1148/2021	115	2	None	19451:19513	bigDeletion
Cyprus/BMV802/2021	116	2	None	17761:17905	bigDeletion
USA/DC-DFS-PHL-0177/2021	117	2	None	19275:19570	bigDeletion
USA/WA-CDC-FG-034335/2021	118	2	None	14697:14747	bigDeletion
USA/CA-CDPH959/2021	119	2	None	20231:20358	bigDeletion
USA/ND-NDDH-3035/2021	120	2	None	19275:19570	bigDeletion
USA/MN-CDC-IBX042437773154/2021	121	2	None	21447:21508	bigDeletion
USA/OR-OHSU-212140125/2021	122	2	None	19290:19551	bigDeletion
USA/WA-Curative-076787/2021	123	2	None	19292:19551	bigDeletion
USA/WA-OHSU-212070160/2021	124	2	None	19292:19551	bigDeletion
USA/WA-PHL-003866/2021	125	2	None	13454:13494	bigDeletion
USA/PA-CDC-4123140-001/2021	126	2	None	15384:15647	bigDeletion
USA/PA-CDC-QDX22442930/2021	127	2	None	20231:20322	bigDeletion
USA/NH-CDCBI-CRSP_RLJHXD3RVMW3WX7S/2021	128	2	None	14927:15193	bigDeletion
USA/WA-S8347/2021	129	2	None	19377:19475	bigDeletion
USA/WI-UW-4475/2021	130	2	None	19275:19570	bigDeletion
USA/WY-WYPHL-21029070/2021	131	2	None	19285:19387	bigDeletion
USA/WY-WYPHL-21035806/2021	131	2	None	19285:19387	bigDeletion
USA/WY-WPHL-21025166-44291/2021	132	2	None	19275:19570	bigDeletion
USA/WY-WYPHL-21052485/2021	133	2	None	19275:19570	bigDeletion
USA/WA-S6043/2021	134	2	None	19291:19557	bigDeletion
USA/WA-S5736/2021	134	2	None	19291:19557	bigDeletion
USA/WA-S5733/2021	134	2	None	19291:19557	bigDeletion
USA/WA-S6044/2021	135	2	None	19290:19557	bigDeletion
USA/WA-S8085/2021	136	3	None	21449:21485	bigDeletion
USA/WA-CDC-FG-034328/2021	136	3	None	21449:21485	bigDeletion
USA/WA-CDC-FG-034338/2021	136	3	None	21449:21485	bigDeletion
USA/WA-CDC-UW21050550123/2021	137	2	None	19292:19406	bigDeletion
USA/WA-S6460/2021	138	3	None	19292:19551	bigDeletion
USA/WA-S6444/2021	138	3	None	19292:19551	bigDeletion
USA/WA-S6448/2021	138	3	None	19292:19551	bigDeletion
USA/WA-S6449/2021	138	3	None	19292:19551	bigDeletion
USA/WA-S6782/2021	138	3	None	19292:19551	bigDeletion
USA/CO-CDPHE-2100478832/2021	139	2	None	13485:13529	bigDeletion
USA/NH-CDCBI-CRSP_WEI5F4SYRQKRZZE6/2021	140	2	None	13961:14232	bigDeletion
USA/OH-GD-082421-56/2021	141	2	None	16205:16368	bigDeletion
USA/WA-UW-68566/2021	142	2	None	19296:19374	bigDeletion
USA/WA-S5889/2021	142	2	None	19296:19374	bigDeletion
USA/WA-UW-68086/2021	142	2	None	19296:19374	bigDeletion
USA/WA-UW-68504/2021	142	2	None	19296:19374	bigDeletion
USA/WA-UW-21042747964/2021	143	2	None	19463:19551	bigDeletion
USA/WA-UW-21042010353/2021	143	2	None	19463:19551	bigDeletion
USA/WA-UW-21042659686/2021	144	2	None	19294:19551	bigDeletion
USA/WA-UW-21042613270/2021	145	4	None	19517:19551	bigDeletion
USA/WA-UW-21051528536/2021	145	4	None	19517:19551	bigDeletion
USA/WA-UW-21051538026/2021	145	4	None	19517:19551	bigDeletion
USA/WA-CDC-UW21050366710/2021	145	4	None	19517:19551	bigDeletion
USA/WA-UW-21051632245/2021	146	2	None	19377:19550	bigDeletion
USA/WA-UW-21051119347/2021	146	2	None	19377:19550	bigDeletion
USA/WA-UW-21051450308/2021	146	2	None	19377:19550	bigDeletion
Morocco/nCoV20326297/2021	147	2	None	19275:19570	bigDeletion
Brazil/SP-IB_122653/2021	148	2	None	13491:13532	bigDeletion
Bangladesh/CHRF-0259_Pr/2021	149	2	None	16210:16444	bigDeletion
Philippines/PH-PGC-53001/2021	150	2	None	21169:21366	bigDeletion
Argentina/INEI111678/2021	150	2	None	21169:21366	bigDeletion
Montenegro/CO-00366_MNE000_2596772102/2021	151	2	None	20787:20863	bigDeletion
USA/NJ-Yale-S141/2021	152	2	None	21232:21269	bigDeletion
Israel/CVL-10036/2021	152	2	None	21232:21269	bigDeletion
USA/DC-DFS-PHL-01070/2021	153	2	None	19275:19570	bigDeletion
USA/DC-DFS-PHL-0940/2021	153	2	None	19275:19570	bigDeletion
Canada/AB-ABPHL-21292/2021	154	2	None	19280:19570	bigDeletion
USA/WA-S9006/2021	155	2	None	19293:19551	bigDeletion
USA/WA-UW-21052723633/2021	156	2	None	19292:19350	bigDeletion
USA/WA-CDC-UW21060711088/2021	157	2	None	17756:17858	bigDeletion
Israel/CVL-7027/2021	158	2	None	19297:19551	bigDeletion
Romania/B-14055/2021	159	2	None	21299:21357	bigDeletion
Israel/CVL-13604/2021	160	2	None	14921:14966	bigDeletion
USA/WA-UW-2021040905502/2021	161	2	None	19292:19557	bigDeletion
Canada/BC-BCCDC-171270/2021	162	2	None	20235:20304	bigDeletion
USA/NV-CDC-QDX22165258/2021	163	2	None	19591:19844	bigDeletion
USA/WA-S7812/2021	164	2	None	19292:19387	bigDeletion
USA/WA-UW-21043094927/2021	165	2	None	19292:19558	bigDeletion
USA/WA-UW-21051816855/2021	166	2	None	19436:19509	bigDeletion
USA/NC-CDC-ASC210004792/2021	167	2	None	19325:19368	bigDeletion
USA/CA-CDC-ASC210196620/2021	168	2	None	19475:19535	bigDeletion
USA/VT-CDC-QDX25497809/2021	169	2	None	16369:16444	bigDeletion
USA/WA-CDC-UW21051749974/2021	170	2	None	19400:19551	bigDeletion
USA/WA-CDC-UW21051392040/2021	170	2	None	19400:19551	bigDeletion
USA/WA-S9469/2021	171	2	None	19292:19329	bigDeletion
Israel/SMC-7025297/2021	172	2	None	19434:19557	bigDeletion
USA/NC-ECU-CORVASEQ-107575420/2021	173	2	None	14764:14842	bigDeletion
USA/WA-S8237/2021	174	2	None	19470:19551	bigDeletion
USA/WA-S6841/2021	174	2	None	19470:19551	bigDeletion
USA/WA-CDC-UW21050470007/2021	174	2	None	19470:19551	bigDeletion
USA/WA-CDC-UW21050302836/2021	174	2	None	19470:19551	bigDeletion
USA/WA-S6532/2021	174	2	None	19470:19551	bigDeletion
USA/WA-UW-2021040926638/2021	174	2	None	19470:19551	bigDeletion
USA/WA-S7040/2021	175	2	None	19290:19551	bigDeletion
USA/WA-S7259/2021	176	2	None	19292:19459	bigDeletion
USA/WA-S6476/2021	176	2	None	19292:19459	bigDeletion
USA/WA-CDC-UW21050642792/2021	177	2	None	19292:19551	bigDeletion
USA/WA-S8662/2021	178	2	None	19292:19551	bigDeletion
USA/WA-UW-21042842853/2021	179	2	None	19290:19551	bigDeletion
USA/WA-UW-21042800841/2021	180	2	None	19290:19551	bigDeletion
USA/WA-UW-21052891602/2021	181	2	None	19292:19551	bigDeletion
USA/WA-UW-21051216368/2021	181	2	None	19292:19551	bigDeletion
USA/WA-S7701/2021	182	2	None	19325:19500	bigDeletion
USA/WA-Altius-ALTCOV-TT432U736BWWWIDK/2021	183	2	None	13478:13567	bigDeletion
USA/WA-UW-21051895745/2021	184	2	None	19396:19432	bigDeletion
USA/WA-S7039/2021	185	2	None	19292:19551	bigDeletion
USA/WA-S7037/2021	185	2	None	19292:19551	bigDeletion
USA/WA-S7038/2021	185	2	None	19292:19551	bigDeletion
USA/WA-UW-2021041497498/2021	186	2	None	13492:13572	bigDeletion
USA/WA-S7420/2021	187	2	None	19392:19551	bigDeletion
USA/WA-CDC-UW21050664728/2021	187	2	None	19392:19551	bigDeletion
USA/WA-Altius-ALTCOV-NXPPNNCMHZXVX3WY/2021	187	2	None	19392:19551	bigDeletion
USA/WA-S6989/2021	187	2	None	19392:19551	bigDeletion
HongKong/HKPU-08535/2020	188	2	None	21146:21386	bigDeletion
Barbados/59719/2021	189	2	None	16485:16770	bigDeletion
Iran/GRC-T11572/2021	190	2	None	15519:15586	bigDeletion
USA/NJ-Yale-S241/2021	191	2	None	19290:19551	bigDeletion
USA/WA-S4807/2021	191	2	None	19290:19551	bigDeletion
Cyprus/BMV226/2021	192	2	None	20695:20737	bigDeletion
Liechtenstein/UHB-4208704401/2021	193	2	None	13579:13610	bigDeletion
DRC/RDC-226/2021	194	2	None	19290:19387	bigDeletion
Brazil/RJ-NXBS694GENOV890114109696/2021	195	2	None	20014:20177	bigDeletion
USA/NM-DOH-2021080000/2021	196	2	None	19290:19331	bigDeletion
USA/NM-NMDOH-2021080061/2021	196	2	None	19290:19331	bigDeletion
USA/NM-DOH-2021080044/2021	196	2	None	19290:19331	bigDeletion
USA/NM-NMDOH-2021080091/2021	196	2	None	19290:19331	bigDeletion
USA/NM-NMDOH-2021079809/2021	196	2	None	19290:19331	bigDeletion
USA/WY-WYPHL-21022646/2021	196	2	None	19290:19331	bigDeletion
USA/NM-NMDOH-2021080060/2021	196	2	None	19290:19331	bigDeletion
USA/NM-DOH-2021080121/2021	196	2	None	19290:19331	bigDeletion
USA/NM-DOH-2021079866/2021	196	2	None	19290:19331	bigDeletion
USA/NM-DOH-2021079973/2021	196	2	None	19290:19331	bigDeletion
Suriname/SR-256/2021	197	2	None	13360:13625	bigDeletion
Romania/DJ64494/2021	198	2	None	19296:19459	bigDeletion
Indonesia/NT-EIJK0818/2021	199	2	None	16186:16310	bigDeletion
Pakistan/UHS2-Pak-107/2021	200	2	None	13564:13625	bigDeletion
Afghanistan/2870x0010_23783/2021	201	2	None	18085:18250	bigDeletion
Netherlands/GR-UMCG-MMB_384/2021	202	2	None	15940:16134	bigDeletion
Netherlands/UT-RIVM-63647/2021	203	2	None	19911:19983	bigDeletion
Netherlands/UT-EMC-527/2022	204	2	None	19877:20117	bigDeletion
Suriname/SR-440/2021	205	2	None	16378:16483	bigDeletion
USA/WA-S9034/2021	206	2	None	19352:19387	bigDeletion
USA/UT-UPHL-210476351704/2021	206	2	None	19352:19387	bigDeletion
USA/UT-UPHL-210701645574/2021	207	2	None	13393:13512	bigDeletion
USA/UT-UPHL-210602637589/2021	208	2	None	19359:19416	bigDeletion
USA/UT-UPHL-2103597532/2021	208	2	None	19359:19416	bigDeletion
USA/MA-MASPHL-03154/2021	209	2	None	19289:19567	bigDeletion
USA/CA-CDPH1868/2021	210	2	None	20111:20200	bigDeletion
USA/MD-HP06240/2021	211	2	None	16186:16444	bigDeletion
USA/WA-S7058/2021	212	3	None	19292:19551	bigDeletion
USA/WA-S7467/2021	212	3	None	19292:19551	bigDeletion
USA/WA-S8964/2021	213	2	None	19361:19395	bigDeletion
USA/WA-UW-21051727228/2021	213	2	None	19361:19395	bigDeletion
USA/WA-S5829/2021	214	2	None	19292:19551	bigDeletion
USA/WA-S5826/2021	214	2	None	19292:19551	bigDeletion
USA/WA-S5532/2021	214	2	None	19292:19551	bigDeletion
USA/WA-S9729/2021	214	2	None	19292:19551	bigDeletion
USA/WA-S8547/2021	215	2	None	19292:19551	bigDeletion
USA/WA-OHSU-211800248/2021	216	2	None	19290:19553	bigDeletion
USA/TN-VUMC-002211/2021	217	2	None	14764:14842	bigDeletion
USA/IA-S21WGS2270/2021	218	3	None	19298:19551	bigDeletion
USA/AZ-CDC-ASC210075631/2021	218	3	None	19298:19551	bigDeletion
USA/WA-UW-21051504661/2021	219	2	None	19342:19493	bigDeletion
USA/WA-UW-64015/2021	220	2	None	19431:19523	bigDeletion
USA/WA-UW-67247/2021	221	2	None	19292:19552	bigDeletion
USA/WA-UW-2021040727422/2021	222	2	None	19292:19551	bigDeletion
USA/WA-CDC-UW21050262820/2021	223	2	None	19512:19551	bigDeletion
USA/WA-CDC-UW21051383416/2021	224	2	None	13486:13606	bigDeletion
USA/WA-CDC-UW21050103747/2021	225	2	None	19392:19493	bigDeletion
USA/WA-CDC-UW21050100238/2021	225	2	None	19392:19493	bigDeletion
USA/WA-S6604/2021	226	3	None	19292:19551	bigDeletion
USA/WA-UW-66380/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S6660/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S6707/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S6677/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S6926/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S5655/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S5654/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S6709/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S6710/2021	226	3	None	19292:19551	bigDeletion
USA/WA-S7696/2021	227	3	None	19360:19424	bigDeletion
USA/WA-UW-21042668492/2021	227	3	None	19360:19424	bigDeletion
USA/WA-UW-21042647865/2021	227	3	None	19360:19424	bigDeletion
USA/WA-UW-2021040207541/2021	228	2	None	20125:20180	bigDeletion
USA/WA-UW-69292/2021	229	3	None	19342:19551	bigDeletion
USA/WA-UW-68564/2021	229	3	None	19342:19551	bigDeletion
USA/WA-S6925/2021	229	3	None	19342:19551	bigDeletion
USA/WA-S6635/2021	229	3	None	19342:19551	bigDeletion
USA/WA-UW-21041920050/2021	230	2	None	19368:19454	bigDeletion
USA/WA-UW-2021040924805/2021	230	2	None	19368:19454	bigDeletion
USA/WA-UW-2021040900478/2021	230	2	None	19368:19454	bigDeletion
USA/WA-UW-21042651756/2021	231	2	None	19361:19515	bigDeletion
Slovenia/261626/2021	232	2	None	17746:17976	bigDeletion
Indonesia/JK-NIHRD-WGS12896/2021	233	2	None	19451:19570	bigDeletion
Russia/SPE-RII-34024S/2021	234	2	None	20041:20204	bigDeletion
Kenya/SS2862/2020	235	2	None	19275:19570	bigDeletion
USA/ND-NDDH-0391/2021	236	2	None	19911:20262	bigDeletion
Luxembourg/LNS5357711/2021	237	2	None	20017:20241	bigDeletion
Turkey/HSGM-C842/2021	238	2	None	19336:19424	bigDeletion
Suriname/SR-500/2021	239	2	None	19558:19836	bigDeletion
Jordan/Biolab0256/2021	240	2	None	13968:14001	bigDeletion
SriLanka/CDR105/2021	241	2	None	13514:13545	bigDeletion
Barbados/59720/2021	242	2	None	19275:19570	bigDeletion
Barbados/59721/2021	243	2	None	19275:19570	bigDeletion
Barbados/79855/2021	244	3	None	19275:19570	bigDeletion
Barbados/77905/2021	244	3	None	19275:19570	bigDeletion
Barbados/77897/2021	244	3	None	19275:19570	bigDeletion
India/KL-GENESCOV05391/2021	245	2	None	19290:19551	bigDeletion
India/KA-NIMH-SEQ-1996/2021	246	2	None	19284:19558	bigDeletion
Romania/B-14058/2021	247	2	None	21169:21357	bigDeletion
USA/WV-CDC-ASC210016322/2021	248	2	None	19360:19498	bigDeletion
India/PB-NCDC-5909324/2021	249	2	None	19292:19567	bigDeletion
USA/AL-CDC-ASC210013023/2021	250	2	None	19292:19558	bigDeletion
Guangdong/IVDC-05-11/2021	251	2	None	19292:19551	bigDeletion
Guangdong/IVDC-05-10/2021	251	2	None	19292:19551	bigDeletion
